55 | Cs | Caesium | 132.9054 | ALKALI_METALS | SOLID | 301.59 | 944.0 | 0.79 | 1879.0
56 | Ba | Barium | 137.327 | ALKALINE_EARTH_METALS | SOLID | 1000.0 | 2143.0 | 0.89 | 3510.0
57 | La | Lanthanum | 138.9054 | LANTHANOIDS | SOLID | 1193.0 | 3737.0 | 1.1 | 6146.0
58 | Ce | Cerium | 140.116 | LANTHANOIDS | SOLID | 1071.0 | 3633.0 | 1.12 | 6689.0
59 | Pr | Praseodymium | 140.9076 | LANTHANOIDS | SOLID | 1204.0 | 3563.0 | 1.13 | 6640.0
60 | Nd | Neodymium | 144.242 | LANTHANOIDS | SOLID | 1294.0 | 3373.0 | 1.14 | 7010.0
61 | Pm | Promethium | 145.0 | LANTHANOIDS | SOLID | 1373.0 | 3273.0 | 0.0 | 7264.0
62 | Sm | Samarium | 150.36 | LANTHANOIDS | SOLID | 1345.0 | 2076.0 | 1.17 | 7353.0
63 | Eu | Europium | 151.964 | LANTHANOIDS | SOLID | 1095.0 | 1800.0 | 0.0 | 5244.0
64 | Gd | Gadolinium | 157.25 | LANTHANOIDS | SOLID | 1586.0 | 3523.0 | 1.2 | 7901.0
65 | Tb | Terbium | 158.9253 | LANTHANOIDS | SOLID | 1629.0 | 3503.0 | 0.0 | 8219.0
66 | Dy | Dysprosium | 162.5 | LANTHANOIDS | SOLID | 1685.0 | 2840.0 | 1.22 | 8551.0
67 | Ho | Holmium | 164.9303 | LANTHANOIDS | SOLID | 1747.0 | 2973.0 | 1.23 | 8795.0
68 | Er | Erbium | 167.259 | LANTHANOIDS | SOLID | 1770.0 | 3141.0 | 1.24 | 9066.0
69 | Tm | Thulium | 168.9342 | LANTHANOIDS | SOLID | 1818.0 | 2223.0 | 1.25 | 9321.0
70 | Yb | Ytterbium | 173.054 | LANTHANOIDS | SOLID | 1092.0 | 1469.0 | 0.0 | 6570.0
71 | Lu | Lutetium | 174.9668 | LANTHANOIDS | SOLID | 1936.0 | 3675.0 | 1.27 | 9641.0
72 | Hf | Hafnium | 178.49 | TRANSITION_METALS | SOLID | 2506.0 | 4876.0 | 1.3 | 13310.0
73 | Ta | Tantalum | 180.9478 | TRANSITION_METALS | SOLID | 3290.0 | 5731.0 | 1.5 | 16650.0
74 | W | Tungsten | 183.84 | TRANSITION_METALS | SOLID | 3695.0 | 5828.0 | 2.36 | 19250.0
75 | Re | Rhenium | 186.207 | TRANSITION_METALS | SOLID | 3459.0 | 5869.0 | 1.9 | 21020.0
76 | Os | Osmium | 190.23 | TRANSITION_METALS | SOLID | 3306.0 | 5285.0 | 2.2 | 22610.0
77 | Ir | Iridium | 192.217 | TRANSITION_METALS | SOLID | 2739.0 | 4701.0 | 2.2 | 22650.0
78 | Pt | Platinum | 195.084 | TRANSITION_METALS | SOLID | 2041.4 | 4098.0 | 2.28 | 21090.0
79 | Au | Gold | 196.9665 | TRANSITION_METALS | SOLID | 1337.33 | 3129.0 | 2.54 | 19300.0
80 | Hg | Mercury | 200.59 | TRANSITION_METALS | LIQUID | 234.32 | 629.88 | 2.0 | 13534.0
81 | Tl | Thallium | 204.38 | POST_TRANSITION_METALS | SOLID | 577.0 | 1746.0 | 1.62 | 11850.0
82 | Pb | Lead | 207.2 | POST_TRANSITION_METALS | SOLID | 600.61 | 2022.0 | 2.33 | 11340.0
83 | Bi | Bismuth | 208.9804 | POST_TRANSITION_METALS | SOLID | 544.4 | 1837.0 | 2.02 | 9780.0
84 | Po | Polonium | 209.0 | METALLOIDS | SOLID | 527.0 | 1235.0 | 2.0 | 9196.0
85 | At | Astatine | 210.0 | HALOGENS | SOLID | 575.0 | 610.0 | 2.2 | 0.0
86 | Rn | Radon | 222.0 | NOBLE_GASES | GAS | 202.0 | 211.3 | 0.0 | 9.73
87 | Fr | Francium | 223.0 | ALKALI_METALS | SOLID | 300.0 | 950.0 | 0.7 | 0.0
